group_type,group_key,group_name,company,id,name,sort,manufacturer_id,action
near,samsung|a11,Samsung Phone A11,Samsung,1257976,Samsung Phone A11,84,114512,KEEP
near,samsung|a11,Samsung Phone A11,Samsung,1258121,Samsung Galaxy A11,22,114512,REVIEW_MERGE
near,samsung|a20,Samsung Phone A20,Samsung,1257952,Samsung Phone A20,85,114512,KEEP
near,samsung|a20,Samsung Phone A20,Samsung,1257936,Samsung A20,4,114512,REVIEW_MERGE
near,samsung|a20,Samsung Phone A20,Samsung,1258157,Samsung Galaxy A20,0,114512,REVIEW_MERGE
near,samsung|a30,Samsung Phone A30,Samsung,1257953,Samsung Phone A30,87,114512,KEEP
near,samsung|a30,Samsung Phone A30,Samsung,1257919,Samsung Phone A30,86,114512,REVIEW_MERGE
near,samsung|a30,Samsung Phone A30,Samsung,1258122,Samsung Galaxy A30,27,114512,REVIEW_MERGE
near,samsung|a35,a35,Samsung,1258410,a35,0,114512,KEEP
near,samsung|a35,a35,Samsung,1258411,Samsung A35,0,114512,REVIEW_MERGE
near,samsung|a50,Samsung Phone A50,Samsung,1257955,Samsung Phone A50,91,114512,KEEP
near,samsung|a50,Samsung Phone A50,Samsung,1258155,Samsung Galaxy A50,0,114512,REVIEW_MERGE
near,samsung|a7,Samsung Tablet A7,Samsung,1258245,Samsung Tablet A7,0,114512,KEEP
near,samsung|a7,Samsung Tablet A7,Samsung,1258244,Tablet A7 ,0,114512,REVIEW_MERGE
near,samsung|a70,Samsung Phone A70,Samsung,1257956,Samsung Phone A70,94,114512,KEEP
near,samsung|a70,Samsung Phone A70,Samsung,1258233,Samsung Galaxy A70,0,114512,REVIEW_MERGE
near,samsung|a8 a530,Samsung Phone A8 A530,Samsung,1251847,Samsung Phone A8 A530,96,114512,KEEP
near,samsung|a8 a530,Samsung Phone A8 A530,Samsung,1250933,Samsung A8 A530,15,114512,REVIEW_MERGE
near,samsung|a8 plus a730,Samsung Phone A8 Plus A730,Samsung,1251846,Samsung Phone A8 Plus A730,97,114512,KEEP
near,samsung|a8 plus a730,Samsung Phone A8 Plus A730,Samsung,1250934,Samsung A8 Plus A730,16,114512,REVIEW_MERGE
near,samsung|j5 prime g570,Samsung Phone J5 Prime (G570),Samsung,1251843,Samsung Phone J5 Prime (G570),99,114512,KEEP
near,samsung|j5 prime g570,Samsung Phone J5 Prime (G570),Samsung,1250954,Samsung J5 Prime G570,70,114512,REVIEW_MERGE
near,samsung|j7 prime g610,Samsung Phone J7 Prime (G610),Samsung,1251841,Samsung Phone J7 Prime (G610),102,114512,KEEP
near,samsung|j7 prime g610,Samsung Phone J7 Prime (G610),Samsung,1250959,Samsung J7 Prime G610,74,114512,REVIEW_MERGE
near,samsung|j7 pro j730,Samsung Phone J7 Pro J730,Samsung,1251840,Samsung Phone J7 Pro J730,103,114512,KEEP
near,samsung|j7 pro j730,Samsung Phone J7 Pro J730,Samsung,1250960,Samsung J7 Pro J730,75,114512,REVIEW_MERGE
near,samsung|note10,Samsung Note10,Samsung,1257972,Samsung Note10,79,114512,KEEP
near,samsung|note10,Samsung Note10,Samsung,1258163,Samsung Galaxy Note10,0,114512,REVIEW_MERGE
near,samsung|note10 plus,Samsung Note10 Plus,Samsung,1258029,Samsung Note10 Plus,80,114512,KEEP
near,samsung|note10 plus,Samsung Note10 Plus,Samsung,1258164,Samsung Galaxy Note10 Plus,0,114512,REVIEW_MERGE
near,samsung|note20 ultra,Samsung Note20 Ultra,Samsung,1258106,Samsung Note20 Ultra,81,114512,KEEP
near,samsung|note20 ultra,Samsung Note20 Ultra,Samsung,1258124,Samsung Galaxy Note20 Ultra,40,114512,REVIEW_MERGE
near,samsung|note8,Samsung Phone Note8,Samsung,1251853,Samsung Phone Note8,109,114512,KEEP
near,samsung|note8,Samsung Phone Note8,Samsung,1250855,Samsung Note8,83,114512,REVIEW_MERGE
near,samsung|s10,Samsung Phone S10,Samsung,1257916,Samsung Phone S10,111,114512,KEEP
near,samsung|s10,Samsung Phone S10,Samsung,1258252,Samsung Galaxy s10 ,0,114512,REVIEW_MERGE
near,samsung|s10 plus,Samsung Phone S10 Plus,Samsung,1257917,Samsung Phone S10 Plus,112,114512,KEEP
near,samsung|s10 plus,Samsung Phone S10 Plus,Samsung,1258224,Samsung Galaxy S10 plus,0,114512,REVIEW_MERGE
near,samsung|s20,Samsung Galaxy S20,Samsung,1258047,Samsung Galaxy S20 ,41,114512,KEEP
near,samsung|s20,Samsung Galaxy S20,Samsung,1258287,Samsung S20,0,114512,REVIEW_MERGE
near,samsung|s22 ultra,Samsung Galaxy S22 Ultra,Samsung,1258162,Samsung Galaxy S22 Ultra,0,114512,KEEP
near,samsung|s22 ultra,Samsung Galaxy S22 Ultra,Samsung,1258285,Samsung Galaxy S22 Ultra,0,114512,REVIEW_MERGE
near,samsung|s22 ultra,Samsung Galaxy S22 Ultra,Samsung,1258337,Samsung S22 Ultra,0,114512,REVIEW_MERGE
near,samsung|s7,Samsung Phone S7,Samsung,1251861,Samsung Phone S7,119,114512,KEEP
near,samsung|s7,Samsung Phone S7,Samsung,1258261,Samsung Galaxy S7 ,0,114512,REVIEW_MERGE
junk,junk,__probe_should_409_or_fail__,Samsung,1258443,__probe_should_409_or_fail__,0,114512,DELETE
junk,junk,__deleted__,Samsung,1258465,__deleted__,0,114512,DELETE
