id,name,company,manufacturer_id,sort
1258333,APPLE MACBOOK PRO A1990 -2018,Apple,114510,0
1258246,Apple Macbook Pro A2251,Apple,114510,0
1258415,"Apple MacBook Pro M1 16"" 2021 (A2485)",Apple,114510,0
1258061,Ima,Apple,114510,71
1258062,iMac,Apple,114510,72
1258329,IMAC A1419 -2015 -27INCH,Apple,114510,0
1258003,Ipad 10.2inch 7th Gen,Apple,114510,73
1257998,Ipad 2018,Apple,114510,74
1258402,iPad Air 1,Apple,114510,0
1257990,iPad Mini 4,Apple,114510,75
1257991,iPad pro 10.5,Apple,114510,76
1258213,"Ipad pro 11"" A1980",Apple,114510,0
1258215,Ipad pro A1980,Apple,114510,0
1258339,iPhone 13 / 14,Apple,114510,0
1258338,iPhone 13/14,Apple,114510,0
1258344,IPhone 16,Apple,114510,0
1258347,IPhone 16 plus,Apple,114510,0
1258242,iphone SE,Apple,114510,0
1257884,ipod 6,Apple,114510,77
1258325,iwacth 6,Apple,114510,0
1257987,mac  book pro,Apple,114510,78
1258034,"Macbook 12"" 2015 A1534",Apple,114510,79
1258332,MACBOOK A2338,Apple,114510,0
1258001,MacBook Air,Apple,114510,80
1258266,"MacBook Air (M2, 2022) A2681",Apple,114510,0
1258030,Macbook Air 11'' A1465 Year 2013-2015,Apple,114510,81
1258205,"Macbook Air 13"" A1932",Apple,114510,0
1258206,"Macbook Air 13"" A2179",Apple,114510,0
1258381,MacBook Air 13' 2011 A1369,Apple,114510,0
1258433,Macbook Air 13-inch A3113 2024,Apple,114510,0
1258417,"MacBook Air Retina 13"" A2179 (2020)",Apple,114510,0
1258432,Macbook Mini A1347,Apple,114510,0
1258017,Macbook Pro,Apple,114510,82
1258032,"Macbook Pro 13"" A1502",Apple,114510,83
1258322,Macbook pro 13inch A2159,Apple,114510,0
1258361,"MacBook Pro 14"" A2442 2021",Apple,114510,0
1258395,"MacBook Pro 15"" 2017 A1701",Apple,114510,0
1258033,"Macbook Pro 15"" A1398 2012 2013",Apple,114510,84
1258031,"Macbook Pro 15"" A1398 Late 2013 & 2014",Apple,114510,85
1258407,Macbook Pro 16 inch A2141 2019 & 2020,Apple,114510,0
1258016,Macbook Pro A1278,Apple,114510,86
1257996,Macbook Pro A1706,Apple,114510,88
1258020,Macbook Pro A1989,Apple,114510,89
1257889,Asus Chromebook,Asus,143638,1
1258152,Asus Computer,Asus,143638,0
1257900,Asus Laptop,Asus,143638,2
1258436,Asus Zenbook Flip,Asus,143638,0
1257885,laptop,Asus,143638,3
1257946,Apple Macbook A1708,del4,143642,1
1257999,DEL 1,del4,143642,87
1258311,Empty,del4,143642,0
1257948,Lenovo Ideapad MIIX 700-12ISK,del5,143646,1
1257923,Samsung Chrombook,del6,143640,1
1257890,GT-N5120,del7,143557,1
1257848,P600,del7,143557,2
1257947,Samsung Tab Active 2,del7,143557,3
1257957,Samsung Tablet A6,del7,143557,4
1257961,Samsung Tablet GT-P5210,del7,143557,5
1257851,Samsung Tablet SM-T355Y,del7,143557,6
1257902,Samsung Tablet SM-T530,del7,143557,7
